"VP_Nummer","Name","Gruppe","Index","AV"
1,"Muhammad","A","1,1",40
2,"Aya","A","1,2",39
3,"Lethabo","A","1,3",52
4,"Fatima","A","1,4",36
5,"Jakari","A","1,5",28
6,"Onalerona","A","1,6",49
7,"Mateo","A","1,7",38
8,"Isabella","A","1,8",72
9,"Noah","A","1,9",47
10,"Emma","A","1,10",55
11,"Santiago","B","2,1",68
12,"Maria","B","2,2",29
13,"Minato","B","2,3",58
14,"Mei","B","2,4",66
15,"Ram","B","2,5",63
16,"Rekha","B","2,6",44
17,"Somchai","B","2,7",61
18,"Nguyên","B","2,8",39
19,"Oliver","B","2,9",56
20,"Sophia","B","2,10",63
21,"Luka","C","3,1",45
22,"Yelena","C","3,2",56
23,"Gabriel","C","3,3",45
24,"Mia","C","3,4",47
25,"Jack","C","3,5",41
26,"Charlotte","C","3,6",27
27,"Manea","C","3,7",49
28,"Kiana","C","3,8",46
29,"Ariki","C","3,9",39
30,"Aroha","C","3,10",28
