"VP_Nummer","Name","Gruppe","Index","AV"
1,"Muhammad","A","1,1",55
2,"Aya","A","1,2",53
3,"Lethabo","A","1,3",63
4,"Fatima","A","1,4",50
5,"Jakari","A","1,5",41
6,"Onalerona","A","1,6",53
7,"Mateo","A","1,7",63
8,"Isabella","A","1,8",49
9,"Noah","A","1,9",39
10,"Emma","A","1,10",68
11,"Santiago","B","2,1",66
12,"Maria","B","2,2",61
13,"Minato","B","2,3",58
14,"Mei","B","2,4",65
15,"Ram","B","2,5",50
16,"Rekha","B","2,6",56
17,"Somchai","B","2,7",35
18,"Nguyên","B","2,8",56
19,"Oliver","B","2,9",43
20,"Sophia","B","2,10",47
21,"Luka","C","3,1",32
22,"Yelena","C","3,2",37
23,"Gabriel","C","3,3",45
24,"Mia","C","3,4",30
25,"Jack","C","3,5",48
26,"Charlotte","C","3,6",47
27,"Manea","C","3,7",42
28,"Kiana","C","3,8",38
29,"Ariki","C","3,9",60
30,"Aroha","C","3,10",33
